 (HEAD -> strings, origin/strings) : 20523970e499f503556de9c9c53dcc649534a92b
Timestamp: 2016-07-13 16:44:03 -0700
Epoch Timestamp: 1468453443
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.6926, True
Tests/Unit/pos/zipW1.hs, 0.7636, True
Tests/Unit/pos/zipW.hs, 0.8578, True
Tests/Unit/pos/zipSO.hs, 0.8616, True
Tests/Unit/pos/zipper000.hs, 0.8523, True
Tests/Unit/pos/zipper0.hs, 1.0388, True
Tests/Unit/pos/zipper.hs, 2.1183, True
Tests/Unit/pos/wrap1.hs, 1.2050, True
Tests/Unit/pos/wrap0.hs, 0.8631, True
Tests/Unit/pos/Words1.hs, 0.7104, True
Tests/Unit/pos/Words.hs, 0.6898, True
Tests/Unit/pos/WBL0.hs, 2.3549, True
Tests/Unit/pos/WBL.hs, 2.3526, True
Tests/Unit/pos/vector2.hs, 1.7913, True
Tests/Unit/pos/vector1b.hs, 1.2124, True
Tests/Unit/pos/vector1a.hs, 1.2837, True
Tests/Unit/pos/vector1.hs, 1.2324, True
Tests/Unit/pos/vector00.hs, 0.8660, True
Tests/Unit/pos/vector0.hs, 1.1728, True
Tests/Unit/pos/vecloop.hs, 1.1460, True
Tests/Unit/pos/Variance.hs, 0.7856, True
Tests/Unit/pos/unusedtyvars.hs, 0.7145, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.8155, True
Tests/Unit/pos/UnboxedTuples.hs, 0.7117, True
Tests/Unit/pos/tyvar.hs, 0.7156, True
Tests/Unit/pos/TypeFamilies.hs, 0.7727, True
Tests/Unit/pos/TypeAlias.hs, 0.7280, True
Tests/Unit/pos/tyfam0.hs, 0.7791, True
Tests/Unit/pos/tyExpr.hs, 0.7160, True
Tests/Unit/pos/tyclass0.hs, 0.7027, True
Tests/Unit/pos/tupparse.hs, 0.8129, True
Tests/Unit/pos/tup0.hs, 0.7278, True
Tests/Unit/pos/transTAG.hs, 2.3341, True
Tests/Unit/pos/transpose.hs, 1.6153, True
Tests/Unit/pos/trans.hs, 1.0548, True
Tests/Unit/pos/ToyMVar.hs, 1.2047, True
Tests/Unit/pos/TopLevel.hs, 0.7625, True
Tests/Unit/pos/top0.hs, 0.8728, True
Tests/Unit/pos/TokenType.hs, 0.7092, True
Tests/Unit/pos/testRec.hs, 0.8391, True
Tests/Unit/pos/Test761.hs, 0.7830, True
Tests/Unit/pos/test2.hs, 0.8019, True
Tests/Unit/pos/test1.hs, 0.8121, True
Tests/Unit/pos/test00c.hs, 0.9220, True
Tests/Unit/pos/test00b.hs, 0.8478, True
Tests/Unit/pos/test000.hs, 0.8221, True
Tests/Unit/pos/test00.old.hs, 0.7785, True
Tests/Unit/pos/test00.hs, 0.7755, True
Tests/Unit/pos/test00-int.hs, 0.7943, True
Tests/Unit/pos/test0.hs, 0.8043, True
Tests/Unit/pos/TerminationNum0.hs, 0.7465, True
Tests/Unit/pos/TerminationNum.hs, 0.7471, True
Tests/Unit/pos/Termination.lhs, 0.9216, True
Tests/Unit/pos/term0.hs, 0.8670, True
Tests/Unit/pos/Term.hs, 0.8697, True
Tests/Unit/pos/TemplateHaskellImp.hs, 0.9241, True
Tests/Unit/pos/TemplateHaskell.hs, 0.8610, True
Tests/Unit/pos/take.hs, 1.1162, True
Tests/Unit/pos/tagBinder.hs, 0.7006, True
Tests/Unit/pos/T716.hs, 0.8030, True
Tests/Unit/pos/T675.hs, 0.9721, True
Tests/Unit/pos/T598.hs, 0.8881, True
Tests/Unit/pos/T595a.hs, 0.7033, True
Tests/Unit/pos/T595.hs, 0.7643, True
Tests/Unit/pos/T531.hs, 0.6940, True
Tests/Unit/pos/Sum.hs, 0.7969, True
Tests/Unit/pos/StructRec.hs, 0.7507, True
Tests/Unit/pos/Strings.hs, 0.7803, True
Tests/Unit/pos/StringLit.hs, 0.7155, True
Tests/Unit/pos/string00.hs, 0.7654, True
Tests/Unit/pos/StrictPair1.hs, 1.2232, True
