 (HEAD -> develop, origin/develop) : e417ca41570b1940578739a02328f4fff2dd2fd6
Timestamp: 2016-07-13 17:20:51 -0700
Epoch Timestamp: 1468455651
--------------------------------------------------------------------------------
test, time(s), result

Tests/Unit/pos/zipW2.hs, 0.5646, True
Tests/Unit/pos/zipW1.hs, 0.5943, True
Tests/Unit/pos/zipW.hs, 0.6195, True
Tests/Unit/pos/zipSO.hs, 0.6346, True
Tests/Unit/pos/zipper000.hs, 0.6256, True
Tests/Unit/pos/zipper0.hs, 0.7328, True
Tests/Unit/pos/zipper.hs, 1.1333, True
Tests/Unit/pos/wrap1.hs, 0.8027, True
Tests/Unit/pos/wrap0.hs, 0.6554, True
Tests/Unit/pos/Words1.hs, 2.7617, True
Tests/Unit/pos/Words.hs, 0.6148, True
Tests/Unit/pos/WBL0.hs, 1.3637, True
Tests/Unit/pos/WBL.hs, 1.3443, True
Tests/Unit/pos/vector2.hs, 1.1622, True
Tests/Unit/pos/vector1b.hs, 0.9618, True
Tests/Unit/pos/vector1a.hs, 0.9684, True
Tests/Unit/pos/vector1.hs, 0.9347, True
Tests/Unit/pos/vector00.hs, 0.7136, True
Tests/Unit/pos/vector0.hs, 0.9473, True
Tests/Unit/pos/vecloop.hs, 0.7799, True
Tests/Unit/pos/Variance.hs, 0.6386, True
Tests/Unit/pos/unusedtyvars.hs, 0.6061, True
Tests/Unit/pos/UnboxedTuplesAndTH.hs, 0.7056, True
Tests/Unit/pos/UnboxedTuples.hs, 0.6115, True
Tests/Unit/pos/tyvar.hs, 0.6408, True
Tests/Unit/pos/TypeFamilies.hs, 0.6586, True
Tests/Unit/pos/TypeAlias.hs, 0.6243, True
Tests/Unit/pos/tyfam0.hs, 0.6626, True
Tests/Unit/pos/tyExpr.hs, 0.6042, True
Tests/Unit/pos/tyclass0.hs, 0.6199, True
Tests/Unit/pos/tupparse.hs, 0.6838, True
Tests/Unit/pos/tup0.hs, 0.6352, True
Tests/Unit/pos/transTAG.hs, 1.4424, True
Tests/Unit/pos/transpose.hs, 0.9986, True
Tests/Unit/pos/trans.hs, 0.7415, True
Tests/Unit/pos/ToyMVar.hs, 0.8413, True
Tests/Unit/pos/TopLevel.hs, 0.6651, True
Tests/Unit/pos/top0.hs, 0.6779, True
Tests/Unit/pos/TokenType.hs, 0.6129, True
Tests/Unit/pos/testRec.hs, 0.6523, True
Tests/Unit/pos/Test761.hs, 0.6586, True
Tests/Unit/pos/test2.hs, 0.6862, True
Tests/Unit/pos/test1.hs, 0.6846, True
Tests/Unit/pos/test00c.hs, 0.7085, True
Tests/Unit/pos/test00b.hs, 0.6844, True
Tests/Unit/pos/test000.hs, 0.6796, True
Tests/Unit/pos/test00.old.hs, 0.6726, True
Tests/Unit/pos/test00.hs, 0.6750, True
Tests/Unit/pos/test00-int.hs, 0.6712, True
Tests/Unit/pos/test0.hs, 0.6664, True
Tests/Unit/pos/TerminationNum0.hs, 0.6537, True
Tests/Unit/pos/TerminationNum.hs, 0.6348, True
Tests/Unit/pos/Termination.lhs, 0.7098, True
Tests/Unit/pos/term0.hs, 0.6980, True
Tests/Unit/pos/Term.hs, 0.6862, True
Tests/Unit/pos/TemplateHaskellImp.hs, 0.8782, True
Tests/Unit/pos/TemplateHaskell.hs, 0.7745, True
Tests/Unit/pos/take.hs, 0.8116, True
Tests/Unit/pos/tagBinder.hs, 0.6122, True
Tests/Unit/pos/T716.hs, 0.6792, True
Tests/Unit/pos/T675.hs, 0.7441, True
Tests/Unit/pos/T598.hs, 0.7780, True
Tests/Unit/pos/T595a.hs, 0.6238, True
Tests/Unit/pos/T595.hs, 0.6830, True
Tests/Unit/pos/T531.hs, 0.6208, True
Tests/Unit/pos/Sum.hs, 0.6399, True
Tests/Unit/pos/StructRec.hs, 0.6560, True
Tests/Unit/pos/Strings.hs, 0.6748, True
Tests/Unit/pos/StringLit.hs, 0.6172, True
Tests/Unit/pos/string00.hs, 0.6823, True
Tests/Unit/pos/StrictPair1.hs, 0.8870, True
Tests/Unit/pos/StrictPair0.hs, 0.6561, True
Tests/Unit/pos/StreamInvariants.hs, 0.6268, True
Tests/Unit/pos/stateInvarint.hs, 0.7477, True
Tests/Unit/pos/StateF00.hs, 0.6310, True
Tests/Unit/pos/StateConstraints00.hs, 0.6411, True
Tests/Unit/pos/StateConstraints0.hs, 7.4637, True
Tests/Unit/pos/StateConstraints.hs, 4.1792, True
Tests/Unit/pos/State1.hs, 0.6467, True
Tests/Unit/pos/state00.hs, 0.6479, True
Tests/Unit/pos/State.hs, 0.6832, True
Tests/Unit/pos/stacks0.hs, 0.6745, True
Tests/Unit/pos/StackClass.hs, 0.6337, True
Tests/Unit/pos/spec0.hs, 0.6690, True
Tests/Unit/pos/Solver.hs, 1.0537, True
Tests/Unit/pos/SimplifyTup00.hs, 0.6558, True
Tests/Unit/pos/SimplerNotation.hs, 0.6167, True
Tests/Unit/pos/selfList.hs, 0.7520, True
Tests/Unit/pos/scanr.hs, 0.6922, True
Tests/Unit/pos/SafePartialFunctions.hs, 0.6419, True
Tests/Unit/pos/risers.hs, 0.6779, True
Tests/Unit/pos/ResolvePred.hs, 0.6408, True
Tests/Unit/pos/ResolveB.hs, 0.6028, True
Tests/Unit/pos/ResolveA.hs, 0.6244, True
Tests/Unit/pos/Resolve.hs, 0.6156, True
Tests/Unit/pos/repeatHigherOrder.hs, 0.9668, True
Tests/Unit/pos/Repeat.hs, 0.6528, True
Tests/Unit/pos/RelativeComplete.hs, 0.6562, True
Tests/Unit/pos/recursion0.hs, 0.6250, True
Tests/Unit/pos/RecSelector.hs, 0.6140, True
Tests/Unit/pos/RecQSort0.hs, 0.7604, True
Tests/Unit/pos/RecQSort.hs, 0.7429, True
Tests/Unit/pos/RecordSelectorError.hs, 0.6147, True
Tests/Unit/pos/record1.hs, 0.6302, True
Tests/Unit/pos/record0.hs, 0.7225, True
Tests/Unit/pos/rec_annot_go.hs, 0.7404, True
Tests/Unit/pos/RealProps1.hs, 0.6495, True
Tests/Unit/pos/RealProps.hs, 0.6626, True
Tests/Unit/pos/RBTree.hs, 6.5709, True
Tests/Unit/pos/RBTree-ord.hs, 4.6126, True
Tests/Unit/pos/RBTree-height.hs, 2.2186, True
Tests/Unit/pos/RBTree-color.hs, 2.6561, True
Tests/Unit/pos/RBTree-col-height.hs, 3.3288, True
Tests/Unit/pos/rangeAdt.hs, 1.4025, True
Tests/Unit/pos/range1.hs, 0.7197, True
Tests/Unit/pos/range.hs, 0.8789, True
Tests/Unit/pos/qualTest.hs, 0.6663, True
Tests/Unit/pos/QQTySyn.hs, 2.7305, True
Tests/Unit/pos/QQTySigTyVars.hs, 2.6588, True
Tests/Unit/pos/QQTySig.hs, 2.6367, True
Tests/Unit/pos/propmeasure1.hs, 0.6119, True
Tests/Unit/pos/propmeasure.hs, 0.7015, True
Tests/Unit/pos/Propability.hs, 0.6511, True
Tests/Unit/pos/PromotedDataCons.hs, 0.6210, True
